TimeSlice,EventSeq
5382054,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2']"
5382055,"['E1', 'E1', 'E1']"
5382058,"['E1', 'E2']"
5382061,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2']"
5382062,"['E1', 'E1', 'E1']"
5382064,"['E1', 'E1', 'E1']"
5382065,"['E1', 'E2']"
5382068,"['E1', 'E2']"
5382069,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382071,"['E1', 'E1', 'E1']"
5382072,"['E1', 'E2']"
5382073,"['E1', 'E1', 'E1']"
5382075,"['E1', 'E2']"
5382076,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382079,"['E1', 'E2']"
5382080,"['E1', 'E1', 'E1']"
5382082,"['E1', 'E1', 'E1']"
5382083,"['E1', 'E2']"
5382084,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382086,"['E1', 'E2']"
5382089,"['E1', 'E1', 'E1']"
5382090,"['E1', 'E2']"
5382091,"['E1', 'E1', 'E1', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382093,"['E1', 'E2']"
5382097,"['E1', 'E2']"
5382098,"['E1', 'E1', 'E1']"
5382099,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382100,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382104,"['E1', 'E2']"
5382106,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382107,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382109,"['E1', 'E1', 'E1']"
5382111,"['E1', 'E2']"
5382114,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382115,"['E1', 'E2']"
5382116,"['E1', 'E1', 'E1']"
5382118,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382121,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382122,"['E1', 'E2']"
5382125,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382127,"['E1', 'E1', 'E1']"
5382129,"['E1', 'E2', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382132,"['E1', 'E2']"
5382134,"['E1', 'E1', 'E1']"
5382136,"['E1', 'E2', 'E1', 'E1', 'E1', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382139,"['E1', 'E2']"
5382143,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382144,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382145,"['E1', 'E1', 'E1']"
5382146,"['E1', 'E2']"
5382150,"['E1', 'E2']"
5382151,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382152,"['E1', 'E1', 'E1']"
5382153,"['E1', 'E2']"
5382154,"['E1', 'E1', 'E1']"
5382157,"['E1', 'E2']"
5382159,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382161,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382163,"['E1', 'E1', 'E1']"
5382164,"['E1', 'E2']"
5382166,"['E1', 'E1', 'E1', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382168,"['E1', 'E2']"
5382170,"['E1', 'E1', 'E1']"
5382171,"['E1', 'E2']"
5382172,"['E1', 'E1', 'E1']"
5382174,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382175,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382178,"['E1', 'E2']"
5382179,"['E1', 'E1', 'E1']"
5382181,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382182,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382184,"['E1', 'E1', 'E1']"
5382185,"['E1', 'E2']"
5382188,"['E1', 'E1', 'E1']"
5382189,"['E1', 'E2', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382191,"['E1', 'E1', 'E1']"
5382192,"['E1', 'E2']"
5382193,"['E1', 'E1', 'E1']"
5382196,"['E1', 'E2', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382197,"['E1', 'E1', 'E1']"
5382198,"['E1', 'E1', 'E1']"
5382200,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382202,"['E1', 'E1', 'E1']"
5382203,"['E1', 'E2']"
5382204,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382206,"['E1', 'E1', 'E1']"
5382207,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382209,"['E1', 'E1', 'E1']"
5382210,"['E1', 'E2']"
5382211,"['E1', 'E1', 'E1', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382214,"['E1', 'E2']"
5382215,['E1']
5382216,"['E1', 'E1', 'E1']"
5382217,"['E1', 'E2']"
5382218,"['E1', 'E1', 'E1']"
5382219,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382220,"['E1', 'E1', 'E1']"
5382221,"['E1', 'E2']"
5382224,"['E1', 'E2', 'E1']"
5382225,"['E1', 'E1', 'E1']"
5382227,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E1', 'E1']"
5382228,"['E1', 'E2']"
5382229,"['E1', 'E1', 'E1']"
5382231,"['E1', 'E2']"
5382234,"['E1', 'E1', 'E1', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382235,"['E1', 'E2']"
5382236,"['E1', 'E1', 'E1']"
5382238,"['E1', 'E1', 'E1']"
5382239,"['E1', 'E2']"
5382242,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2']"
5382243,"['E1', 'E1', 'E1']"
5382245,"['E1', 'E1', 'E1']"
5382246,"['E1', 'E2']"
5382247,"['E1', 'E1', 'E1']"
5382249,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2']"
5382252,"['E1', 'E1', 'E1']"
5382253,"['E1', 'E2']"
5382254,"['E1', 'E1', 'E1']"
5382256,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382257,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382260,"['E1', 'E2']"
5382261,"['E1', 'E1', 'E1']"
5382263,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382264,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382265,"['E1', 'E1', 'E1']"
5382267,"['E1', 'E2']"
5382270,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382272,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E1', 'E1']"
5382274,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382275,['E4']
5382278,"['E1', 'E2']"
5382279,"['E1', 'E1', 'E1', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382281,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382283,"['E1', 'E1', 'E1']"
5382285,"['E1', 'E2']"
5382287,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382288,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382290,"['E1', 'E1', 'E1']"
5382292,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382294,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382295,"['E1', 'E2']"
5382297,"['E1', 'E1', 'E1']"
5382299,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382301,"['E1', 'E1', 'E1']"
5382302,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2']"
5382306,"['E1', 'E2']"
5382308,"['E1', 'E1', 'E1']"
5382309,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2']"
5382310,"['E1', 'E1', 'E1']"
5382313,"['E1', 'E2']"
5382316,"['E1', 'E2']"
5382317,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E1', 'E1']"
5382319,"['E1', 'E1', 'E1']"
5382320,"['E1', 'E2']"
5382324,"['E1', 'E2', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382326,"['E1', 'E1', 'E1']"
5382327,"['E1', 'E2']"
5382328,"['E1', 'E1', 'E1']"
5382331,"['E1', 'E2']"
5382332,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382334,"['E1', 'E2']"
5382335,"['E1', 'E1', 'E1']"
5382337,"['E1', 'E1', 'E1']"
5382338,"['E1', 'E2']"
5382339,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382341,"['E1', 'E2']"
5382344,"['E1', 'E1', 'E1']"
5382345,"['E1', 'E2']"
5382346,"['E1', 'E1', 'E1']"
5382347,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382348,"['E1', 'E2']"
5382352,"['E1', 'E2']"
5382353,"['E1', 'E1', 'E1']"
5382354,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382355,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382359,"['E1', 'E2']"
5382362,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E1', 'E1']"
5382363,"['E1', 'E2']"
5382364,"['E1', 'E1', 'E1']"
5382366,"['E1', 'E2']"
5382369,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382370,"['E1', 'E2']"
5382371,"['E1', 'E1', 'E1']"
5382373,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382377,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2']"
5382380,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382382,"['E1', 'E1', 'E1']"
5382384,"['E1', 'E2', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382387,"['E1', 'E2']"
5382389,"['E1', 'E1', 'E1']"
5382391,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382392,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382394,"['E1', 'E2']"
5382398,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382399,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382400,"['E1', 'E1', 'E1']"
5382402,"['E1', 'E2']"
5382405,"['E1', 'E2']"
5382407,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E1', 'E1']"
5382409,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382412,"['E1', 'E2']"
5382414,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382416,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382418,"['E1', 'E1', 'E1']"
5382419,"['E1', 'E2']"
5382422,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382423,"['E1', 'E2']"
5382425,"['E1', 'E1', 'E1']"
5382426,"['E1', 'E2']"
5382427,"['E1', 'E1', 'E1']"
5382429,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382430,"['E1', 'E2']"
5382433,"['E1', 'E2']"
5382434,"['E1', 'E1', 'E1']"
5382436,"['E1', 'E1', 'E1']"
5382437,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2']"
5382441,"['E1', 'E2']"
5382443,"['E1', 'E1', 'E1']"
5382444,"['E1', 'E2', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382445,"['E1', 'E1', 'E1']"
5382448,"['E1', 'E2']"
5382451,"['E1', 'E2']"
5382452,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E1', 'E1']"
5382454,"['E1', 'E1', 'E1']"
5382455,"['E1', 'E2']"
5382458,"['E1', 'E2']"
5382459,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382461,"['E1', 'E1', 'E1']"
5382462,"['E1', 'E2']"
5382463,"['E1', 'E1', 'E1']"
5382465,"['E1', 'E2']"
5382467,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382469,"['E1', 'E2']"
5382470,"['E1', 'E1', 'E1']"
5382472,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382474,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382476,"['E1', 'E2']"
5382479,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382481,"['E1', 'E1', 'E1']"
5382482,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382483,"['E1', 'E2']"
5382487,"['E1', 'E2']"
5382488,"['E1', 'E1', 'E1']"
5382489,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382490,"['E1', 'E2']"
5382491,"['E1', 'E1', 'E1']"
5382494,"['E1', 'E2']"
5382497,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2', 'E1', 'E1', 'E1']"
5382500,"['E1', 'E1', 'E1']"
5382501,"['E1', 'E2']"
5382504,"['E1', 'E2', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382506,"['E1', 'E1', 'E1']"
5382507,"['E1', 'E1', 'E1']"
5382508,"['E1', 'E2']"
5382509,"['E1', 'E1', 'E1']"
5382511,"['E1', 'E2']"
5382512,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382515,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382516,"['E1', 'E1', 'E1']"
5382518,"['E1', 'E1', 'E1']"
5382519,"['E1', 'E2', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382522,"['E1', 'E2']"
5382524,"['E1', 'E1']"
5382525,"['E1', 'E1', 'E1']"
5382526,"['E1', 'E2']"
5382527,"['E1', 'E1', 'E1', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382529,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382533,"['E1', 'E2']"
5382534,"['E1', 'E1', 'E1', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382536,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382538,"['E1', 'E1', 'E1']"
5382540,"['E1', 'E2']"
5382542,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382543,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382545,"['E1', 'E1', 'E1']"
5382547,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382549,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382550,"['E1', 'E2']"
5382554,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382556,"['E1', 'E1', 'E1']"
5382557,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2']"
5382561,"['E1', 'E2']"
5382563,"['E4', 'E1', 'E1', 'E1']"
5382564,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382565,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382568,"['E1', 'E2']"
5382572,"['E1', 'E2', 'E1', 'E1', 'E1', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382574,"['E1', 'E1', 'E1']"
5382575,"['E1', 'E2']"
5382579,"['E1', 'E2', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382581,"['E1', 'E1', 'E1']"
5382582,"['E1', 'E2']"
5382583,"['E1', 'E1', 'E1']"
5382586,"['E1', 'E2']"
5382587,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382589,"['E1', 'E2']"
5382590,"['E1', 'E1', 'E1']"
5382592,"['E1', 'E1', 'E1']"
5382593,"['E1', 'E2']"
5382594,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382596,"['E1', 'E2']"
5382599,"['E1', 'E1', 'E1']"
5382600,"['E1', 'E2']"
5382601,"['E1', 'E1', 'E1']"
5382602,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382604,"['E1', 'E2']"
5382607,"['E1', 'E2']"
5382608,"['E1', 'E1', 'E1']"
5382609,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382610,"['E1', 'E1', 'E1']"
5382611,"['E1', 'E2']"
5382614,"['E1', 'E2']"
5382617,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E1', 'E1']"
5382618,"['E1', 'E2']"
5382619,"['E1', 'E1', 'E1']"
5382621,"['E1', 'E2']"
5382624,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382625,"['E1', 'E2']"
5382626,"['E1', 'E1', 'E1']"
5382628,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382632,"['E1', 'E2', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382635,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382637,"['E1', 'E1', 'E1']"
5382639,"['E1', 'E2']"
5382640,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382643,"['E1', 'E2']"
5382644,"['E1', 'E1', 'E1']"
5382646,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382647,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382650,"['E1', 'E2']"
5382653,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382655,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E1', 'E1']"
5382657,"['E1', 'E2']"
5382660,"['E1', 'E2']"
5382662,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E1', 'E1']"
5382664,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382667,"['E1', 'E2']"
5382670,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382671,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382673,"['E1', 'E1', 'E1']"
5382674,"['E1', 'E2']"
5382675,['E1']
5382677,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382678,"['E1', 'E2']"
5382680,"['E1', 'E1', 'E1']"
5382682,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382685,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2']"
5382689,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382691,"['E1', 'E1', 'E1']"
5382692,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2']"
5382696,"['E1', 'E2']"
5382698,"['E1', 'E1', 'E1']"
5382699,"['E1', 'E2']"
5382700,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E1', 'E1']"
5382703,"['E1', 'E2']"
5382706,"['E1', 'E2']"
5382707,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E1', 'E1']"
5382709,"['E1', 'E1', 'E1']"
5382710,"['E1', 'E2']"
5382713,"['E1', 'E2']"
5382715,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382716,"['E1', 'E1', 'E1']"
5382717,"['E1', 'E2']"
5382718,"['E1', 'E1', 'E1']"
5382720,"['E1', 'E2']"
5382722,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382724,"['E1', 'E2']"
5382725,"['E1', 'E1', 'E1']"
5382727,"['E1', 'E1', 'E1']"
5382728,"['E1', 'E2']"
5382730,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382731,"['E1', 'E2']"
5382734,"['E1', 'E1', 'E1']"
5382735,"['E1', 'E2']"
5382736,"['E1', 'E1', 'E1']"
5382737,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382738,"['E1', 'E2']"
5382742,"['E1', 'E2']"
5382743,"['E1', 'E1', 'E1']"
5382744,['E1']
5382745,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2', 'E1']"
5382746,"['E1', 'E1']"
5382749,"['E1', 'E2']"
5382752,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E1', 'E1', 'E1', 'E2']"
5382755,"['E1', 'E1', 'E1']"
5382756,"['E1', 'E2']"
5382759,"['E1', 'E2']"
5382760,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382761,"['E1', 'E1', 'E1']"
5382763,"['E1', 'E2']"
5382764,"['E1', 'E1', 'E1']"
5382767,"['E1', 'E2', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382770,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382773,"['E1', 'E1', 'E1']"
5382774,"['E1', 'E2']"
5382775,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382777,"['E1', 'E2']"
5382779,"['E1', 'E1', 'E1']"
5382780,"['E1', 'E1', 'E1']"
5382781,"['E1', 'E2']"
5382782,"['E1', 'E1', 'E1', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382784,"['E1', 'E2']"
5382788,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382789,"['E1', 'E1', 'E1']"
5382790,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382791,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382795,"['E1', 'E2']"
5382797,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E1', 'E1']"
5382798,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382800,"['E1', 'E1', 'E1']"
5382802,"['E1', 'E2']"
5382805,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382806,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382807,"['E1', 'E1', 'E1']"
5382809,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382812,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382813,"['E1', 'E2']"
5382815,"['E1', 'E1']"
